contrast,variable,difference_fixed_membership,ci_lower_fixed_membership,ci_upper_fixed_membership,difference_reselected,bootstrap_mean,bootstrap_bias,ci_lower_reselected,ci_upper_reselected,finite_replicates,point_estimate_difference
expanded_only_minus_routine_only,BELONG,-1.5071758553600638,-1.7479338870676229,-1.2926972577656308,-1.5071758553600634,-1.4966790582597929,0.010496797100270516,-1.7432698120692856,-1.2838772315396039,1000,4.440892098500626e-16
expanded_only_minus_routine_only,BULLIED,1.6855199687237856,1.4953049751198595,1.8856442614171856,1.6855199687237856,1.6725529107430792,-0.012967057980706409,1.4722479793063745,1.872542457160048,1000,0.0
expanded_only_minus_routine_only,ESCS,0.0847997206170946,-0.1343177683767795,0.3072144519720753,0.08479972061709473,0.08070428058640347,-0.004095440030691261,-0.13174232700199398,0.30889117710222497,1000,1.249000902703301e-16
expanded_only_minus_routine_only,ST016Q01NA,-0.2831768603395113,-0.5251804784739694,-0.0178247063655822,-0.2831768603395117,-0.27860960046189204,0.004567259877619689,-0.5238879553845844,-0.003991984224476726,1000,-4.440892098500626e-16
expanded_only_minus_routine_only,TEACHSUP,-0.4840897977868861,-0.7189856941107932,-0.2383693566918021,-0.4840897977868861,-0.49842171591427653,-0.01433191812739043,-0.7425364317713721,-0.24918235598884358,1000,0.0
expanded_only_minus_routine_only,any_class_skipping,-0.4140728460408492,-0.5111327013045222,-0.3157630738206654,-0.4140728460408494,-0.4177050579164545,-0.0036322118756051402,-0.5181362953131747,-0.3149098884465915,1000,-1.6653345369377348e-16
expanded_only_minus_routine_only,any_tardiness,-0.4098034908013767,-0.486413028132273,-0.3368284420826345,-0.4098034908013767,-0.40807612467387944,0.001727366127497243,-0.4862532656837042,-0.33196363051882444,1000,0.0
expanded_only_minus_routine_only,any_whole_day_skipping,-0.5633941851775879,-0.6286768433814852,-0.4979406111645816,-0.5633941851775879,-0.5521654900740496,0.0112286951035383,-0.6219450060412395,-0.4749624516951303,1000,0.0
expanded_only_minus_routine_only,female,0.059935139329993,-0.0421460672598177,0.1634508254166636,0.05993513932999317,0.06043389308871059,0.0004987537587174198,-0.04156271589738536,0.16328499001548022,1000,1.734723475976807e-16
expanded_only_minus_routine_only,immigrant,0.0306056305169293,-0.0551581128000149,0.1122880892008083,0.03060563051692944,0.034653223112508375,0.004047592595578936,-0.05337716688845258,0.11468405267554932,1000,1.3877787807814457e-16
expanded_only_minus_routine_only,repeated_grade,-0.3276127461036363,-0.4145853278818302,-0.2267678263217574,-0.32761274610363633,-0.3268729684691314,0.0007397776345049456,-0.4141064805654175,-0.22555664901218025,1000,-5.551115123125783e-17
