group,variable,full_sample_estimate,bootstrap_mean,bootstrap_bias,ci_lower,ci_upper,finite_replicates,minimum_effective_weight
both,ST016Q01NA,2.1241617977347933,2.130420815829823,0.006259018095029489,1.8668295038608318,2.370979220934703,1000,4581.64581
both,BELONG,-0.7821257821233517,-0.7816362445315428,0.0004895375918089195,-0.8656298041705945,-0.6937186868713127,1000,4270.9938600000005
both,BULLIED,1.073969997489522,1.0764605115101036,0.0024905140205815357,0.9415253731376159,1.2204564590786702,1000,4405.496450000001
both,TEACHSUP,-0.4145320953001537,-0.4175096376162148,-0.002977542316061066,-0.592931267088446,-0.23552484027805937,1000,3825.57436
both,ESCS,-0.6568767119574562,-0.6421458101033607,0.014730901854095535,-0.8467552492787466,-0.44787959385728,1000,4302.73135
both,female,0.5750838683214663,0.5716355924403135,-0.003448275881152818,0.498618966065315,0.6487208942016435,1000,4581.64581
both,immigrant,0.2445209603228346,0.2360696968959403,-0.008451263426894312,0.16530166311759725,0.3139028568618691,1000,3736.94488
both,repeated_grade,0.720629364315231,0.7165906340522776,-0.004038730262953316,0.6270809069043102,0.795718544183288,1000,4274.05997
both,any_whole_day_skipping,0.9301527302186636,0.9322028429924671,0.002050112773803514,0.8914994003273392,0.9673641443122446,1000,3994.86923
both,any_class_skipping,0.814759385972739,0.820807934640744,0.006048548668004972,0.7481862683691675,0.8883349939252674,1000,4019.7091299999997
both,any_tardiness,0.9199484305864324,0.9231713471353256,0.0032229165488931732,0.8813554047009587,0.9605510743722775,1000,4151.03121
routine_only,ST016Q01NA,2.618010191293843,2.6044664797261654,-0.01354371156767753,2.3840169307289223,2.806974900203341,1000,3212.9183000000003
routine_only,BELONG,0.3871949801369217,0.37544124324802725,-0.011753736888894473,0.16169423581697737,0.6292937347919163,1000,3167.0346430000036
routine_only,BULLIED,-0.3900546639341309,-0.3825899243162455,0.0074647396178854075,-0.5685154421157858,-0.19810738472720768,1000,3139.6125642782918
routine_only,TEACHSUP,-0.054350976650653,-0.03605912403819039,0.018291852612462606,-0.24322481400060098,0.17183544741425272,1000,3099.8093799999997
routine_only,ESCS,-0.4015214359995632,-0.4065864848711716,-0.005065048871608413,-0.5962112713055768,-0.22223294478573813,1000,3161.25954
routine_only,female,0.6257081467113857,0.6254169457312946,-0.00029120098009116635,0.5338989198721313,0.7079294271702816,1000,3212.9183000000003
routine_only,immigrant,0.22879511473404485,0.22851329505447068,-0.00028181967957416343,0.15974210630804547,0.30586080912276825,1000,2980.45439
routine_only,repeated_grade,0.6477986821895496,0.6477028108200183,-9.587136953126407e-05,0.559879573695553,0.7241463420473361,1000,3171.92439
routine_only,any_whole_day_skipping,0.916538229947681,0.9110487639559702,-0.00548946599171074,0.8582844802034015,0.9541747743175263,1000,2983.76076
routine_only,any_class_skipping,0.8054693642743702,0.8089612992046782,0.0034919349303079716,0.7156176901217108,0.8890424537584388,1000,2971.28248
routine_only,any_tardiness,0.9053916402708622,0.9022649601974545,-0.0031266800734076616,0.8519178134554081,0.9473434303365404,1000,3073.71254
expanded_only,ST016Q01NA,2.334833330954331,2.325856879264273,-0.00897645169005834,2.1770764256297697,2.4784983919425443,1000,9132.37927
expanded_only,BELONG,-1.1199808752231417,-1.1212378150117652,-0.0012569397886235123,-1.188702662816498,-1.0548672693671763,1000,8948.27658
expanded_only,BULLIED,1.2954653047896547,1.2899629864268334,-0.005502318362821335,1.2251997924384752,1.358635372964097,1000,9082.02192700002
expanded_only,TEACHSUP,-0.5384407744375391,-0.534480839952467,0.003959934485072147,-0.6634412870827809,-0.4036959943684662,1000,8124.10541
expanded_only,ESCS,-0.31672171538246846,-0.32588220428476816,-0.009160488902299702,-0.4609147131256315,-0.19168853060289728,1000,9082.299949999999
expanded_only,female,0.6856432860413789,0.6858508388200052,0.0002075527786262743,0.6331815235501875,0.7337445700913798,1000,9132.37927
expanded_only,immigrant,0.2594007452509743,0.263166518166979,0.003765772916004717,0.20771253616997803,0.3151690545122898,1000,8790.27603700002
expanded_only,repeated_grade,0.3201859360859133,0.32082984235088713,0.0006439062649738481,0.2713221006521659,0.37475095708634426,1000,9132.37927
expanded_only,any_whole_day_skipping,0.35314404477009315,0.35888327388192065,0.005739229111827504,0.30440068074695215,0.4106317722244673,1000,8993.59232
expanded_only,any_class_skipping,0.39139651823352084,0.3912562412882238,-0.0001402769452970576,0.33812224950365766,0.4423574261660192,1000,8934.544590000001
expanded_only,any_tardiness,0.4955881494694855,0.494188835523575,-0.0013993139459104742,0.4355756042272908,0.5516228924675887,1000,8931.502870298631
neither,ST016Q01NA,2.891072509724327,2.893666811911267,0.002594302186940123,2.8260049265472635,2.959121504163184,1000,36436.67278
neither,BELONG,-0.06364812218669165,-0.06263328977483935,0.0010148324118522956,-0.10992092134412801,-0.01140101455991384,1000,36008.32492
neither,BULLIED,-0.2508516870413188,-0.2505086688454713,0.0003430181958475331,-0.3006802730807077,-0.19610786269775582,1000,36147.6331
neither,TEACHSUP,0.020309232341469627,0.01737953903225622,-0.0029296933092134055,-0.057464660171791304,0.08933122580201176,1000,35560.23592
neither,ESCS,-0.13529645681847738,-0.13447832127229567,0.0008181355461817086,-0.20572456591209234,-0.06762125322199528,1000,36153.91817
neither,female,0.6444391514758422,0.6442612469604273,-0.00017790451541488395,0.6181006662933224,0.6705379904517512,1000,36436.67278
neither,immigrant,0.19893025198010647,0.19843979435834297,-0.0004904576217635015,0.1745466024912408,0.22436080838579248,1000,35259.98221
neither,repeated_grade,0.19061965709236606,0.19109039536147826,0.00047073826911220307,0.16838979818183591,0.21654675348866148,1000,36436.67278
neither,any_whole_day_skipping,0.25977508414442835,0.2594392722521327,-0.00033581189229564545,0.2342040801785096,0.28220758238522536,1000,35923.89452
neither,any_class_skipping,0.26518723544183953,0.2643693836772199,-0.0008178517646196259,0.24032688616470263,0.288862820159375,1000,35870.569410000004
neither,any_tardiness,0.39213924274641515,0.393264466016302,0.0011252232698868436,0.3654705518131882,0.42531558874307873,1000,35848.18477000001
