group,variable,estimate,effective_weight
both,ST016Q01NA,2.1241617977347933,6201.799540041162
both,BELONG,-0.7821257821233517,5636.453280041162
both,BULLIED,1.073969997489522,5754.684460041162
both,TEACHSUP,-0.4145320953001537,5112.090190041162
both,ESCS,-0.6568767119574562,5821.396380041161
both,female,0.5750838683214663,6201.799540041162
both,immigrant,0.2445209603228346,5232.279140041162
both,repeated_grade,0.720629364315231,5651.365170041162
both,any_whole_day_skipping,0.9301527302186636,5411.646170041162
both,any_class_skipping,0.814759385972739,5405.515660041162
both,any_tardiness,0.9199484305864324,5485.577150041162
routine_only,ST016Q01NA,2.618010191293843,4204.8243
routine_only,BELONG,0.3871949801369217,4080.22105
routine_only,BULLIED,-0.3900546639341309,4117.152700000001
routine_only,TEACHSUP,-0.054350976650653,4087.9284599999996
routine_only,ESCS,-0.4015214359995632,4148.63817
routine_only,female,0.6257081467113857,4204.8243
routine_only,immigrant,0.22879511473404485,3980.28197
routine_only,repeated_grade,0.6477986821895496,4136.65258
routine_only,any_whole_day_skipping,0.916538229947681,3896.17941
routine_only,any_class_skipping,0.8054693642743702,3929.50934
routine_only,any_tardiness,0.9053916402708622,4057.62716
expanded_only,ST016Q01NA,2.334833330954331,10745.490329958839
expanded_only,BELONG,-1.1199808752231417,10618.799859958839
expanded_only,BULLIED,1.2954653047896547,10634.458139958839
expanded_only,TEACHSUP,-0.5384407744375391,10014.18144995884
expanded_only,ESCS,-0.31672171538246846,10698.759779958838
expanded_only,female,0.6856432860413789,10745.490329958839
expanded_only,immigrant,0.2594007452509743,10287.085749958838
expanded_only,repeated_grade,0.3201859360859133,10745.490329958839
expanded_only,any_whole_day_skipping,0.35314404477009315,10631.788799958838
expanded_only,any_class_skipping,0.39139651823352084,10454.40676995884
expanded_only,any_tardiness,0.4955881494694855,10529.921559958839
neither,ST016Q01NA,2.891072509724327,42709.99578
neither,BELONG,-0.06364812218669165,42161.67318
neither,BULLIED,-0.2508516870413188,42185.468550000005
neither,TEACHSUP,0.020309232341469627,41321.2812
neither,ESCS,-0.13529645681847738,42231.12732
neither,female,0.6444391514758422,42709.99578
neither,immigrant,0.19893025198010647,41323.26415
neither,repeated_grade,0.19061965709236606,42709.99578
neither,any_whole_day_skipping,0.25977508414442835,42133.48488
neither,any_class_skipping,0.26518723544183953,41982.06826
neither,any_tardiness,0.39213924274641515,42018.84314
