model,capacity,observed_precision,identity_precision,absolute_residual
routine_logit,0.05,0.2608832968711571,0.2608832968711569,1.6653345369377348e-16
routine_logit,0.1,0.2375312714044451,0.2375312714044449,1.942890293094024e-16
routine_logit,0.15,0.2234888135057445,0.22348881350574437,1.3877787807814457e-16
routine_logit,0.2,0.2187737281051686,0.21877372810516857,2.7755575615628914e-17
expanded_logit,0.05,0.4122876910591214,0.4122876910591213,1.1102230246251565e-16
expanded_logit,0.1,0.3868220252366541,0.38682202523665427,1.6653345369377348e-16
expanded_logit,0.15,0.3438087261145175,0.34380872611451724,2.7755575615628914e-16
expanded_logit,0.2,0.3155664934129584,0.31556649341295695,1.4432899320127035e-15
expanded_hgb,0.05,0.4371009196657783,0.4371009196657785,2.220446049250313e-16
expanded_hgb,0.1,0.4095198266327532,0.40951982663275255,6.661338147750939e-16
expanded_hgb,0.15,0.3759249462167761,0.3759249462167756,4.996003610813204e-16
expanded_hgb,0.2,0.3395795287128924,0.3395795287128909,1.4988010832439613e-15
routine_plus_belong_logit,0.05,0.2859258393163497,0.28592583931634974,5.551115123125783e-17
routine_plus_belong_logit,0.1,0.2998208147519604,0.29982081475196165,1.27675647831893e-15
routine_plus_belong_logit,0.15,0.3026895054172026,0.3026895054172035,9.43689570931383e-16
routine_plus_belong_logit,0.2,0.2934333283888924,0.29343332838889247,5.551115123125783e-17
routine_plus_bullied_logit,0.05,0.3619465998774284,0.3619465998774285,1.1102230246251565e-16
routine_plus_bullied_logit,0.1,0.3385876572666618,0.33858765726666223,4.440892098500626e-16
routine_plus_bullied_logit,0.15,0.312845523231624,0.312845523231624,0.0
routine_plus_bullied_logit,0.2,0.2882009588415831,0.28820095884158253,5.551115123125783e-16
routine_plus_teachsup_logit,0.05,0.2822941458035922,0.2822941458035923,1.1102230246251565e-16
routine_plus_teachsup_logit,0.1,0.2473683978750373,0.2473683978750372,1.1102230246251565e-16
routine_plus_teachsup_logit,0.15,0.2354037010189386,0.2354037010189386,0.0
routine_plus_teachsup_logit,0.2,0.2192225152000547,0.2192225152000545,1.942890293094024e-16
experiences_only_logit,0.05,0.4157946753479408,0.4157946753479411,3.3306690738754696e-16
experiences_only_logit,0.1,0.3749850044405721,0.37498500444057253,4.440892098500626e-16
experiences_only_logit,0.15,0.3393912817807444,0.3393912817807444,0.0
experiences_only_logit,0.2,0.3167815428791,0.31678154287909943,5.551115123125783e-16
expanded_altbully_logit,0.05,0.3764954125903667,0.3764954125903668,1.1102230246251565e-16
expanded_altbully_logit,0.1,0.3463493260837262,0.3463493260837267,4.996003610813204e-16
expanded_altbully_logit,0.15,0.3231643732068478,0.323164373206848,1.6653345369377348e-16
expanded_altbully_logit,0.2,0.3144932780894391,0.3144932780894384,7.216449660063518e-16
expanded_hgb_no_earlystop,0.05,0.4269452595953142,0.4269452595953145,2.7755575615628914e-16
expanded_hgb_no_earlystop,0.1,0.4106477991502371,0.4106477991502365,5.551115123125783e-16
expanded_hgb_no_earlystop,0.15,0.3773028428321416,0.37730284283214116,4.440892098500626e-16
expanded_hgb_no_earlystop,0.2,0.3393688860731952,0.33936888607319404,1.1657341758564144e-15
