slice_id,model,n,mae,rmse,r2,auprc,recall_at_10pct_capacity,precision_at_10pct_capacity
S1_continuous_outcome,routine_ridge,29588.0,1.7502779395072146,2.24540447944716,0.0147753676457669,,,
S1_continuous_outcome,routine_hgb,29588.0,1.7516438642580792,2.2444193787501288,0.0156396507473404,,,
S1_continuous_outcome,expanded_ridge,29588.0,1.6417839005987769,2.122235749171133,0.1198973189677798,,,
S1_continuous_outcome,expanded_hgb,29588.0,1.604761801262028,2.083170839479542,0.151999970710578,,,
S2_complete_case_retrained,expanded_logit,27937.0,,,,0.2999439680824033,0.270676549294811,0.3806979982239465
S2_main_predictions_restricted,expanded_logit,27937.0,,,,0.3000150234160172,0.2736099632713678,0.3848237521237456
S2_complete_case_retrained,expanded_hgb,27937.0,,,,0.3267779828998723,0.3003361749008752,0.4224133227532327
S2_main_predictions_restricted,expanded_hgb,27937.0,,,,0.3277628327638146,0.2957909201513736,0.416020565829661
S3_hgb_early_stopping,expanded_hgb,29588.0,,,,0.3288782755147335,0.2809446284196878,0.4095198266327532
S3_hgb_early_stopping,expanded_hgb_no_earlystop,29588.0,,,,0.3282603805831544,0.281718456203309,0.4106477991502371
