metric,full_sample_delta,bootstrap_ci_lower,bootstrap_ci_upper
weighted_average_precision,0.024785279942834804,0.017116140622602218,0.034044751304988394
recall_at_10pct_capacity,0.008487468710701496,-0.003801227528412125,0.021745186923372017
precision_at_10pct_capacity,0.012371785623767895,-0.005487908471734555,0.03259185278198118
