metric,full_sample_delta,bootstrap_ci_lower,bootstrap_ci_upper,brr_ci_lower,brr_ci_upper
weighted_average_precision,0.025461471922473278,0.014329062686648452,0.036146361278192235,0.015241064003622396,0.03568187984132416
recall_at_10pct_capacity,0.01557146922922803,0.0020020872003387287,0.02892306600342079,0.0028135680146077653,0.028329370443848294
precision_at_10pct_capacity,0.022697801396099115,0.0029732251588024477,0.04245629799401855,0.004112654394753768,0.041282948397444466
