contrast,variable,difference,ci_lower,ci_upper
student_experience_only_minus_routine_visible,ST016Q01NA,0.01113076402567037,-0.20057619710878155,0.22720823131935847
student_experience_only_minus_routine_visible,BELONG,-0.8288756857757827,-1.0124546612266558,-0.6832756246196012
student_experience_only_minus_routine_visible,BULLIED,0.8320820694121855,0.6712287142392511,0.9783124429217133
student_experience_only_minus_routine_visible,TEACHSUP,-0.2839512509723178,-0.46666751541069357,-0.08913951458758416
student_experience_only_minus_routine_visible,ESCS,0.2338989310184823,0.050352225275243044,0.4000426951580671
student_experience_only_minus_routine_visible,female,0.0901045421314568,0.016175379849255742,0.16215375356430226
student_experience_only_minus_routine_visible,immigrant,0.021674127881462446,-0.050965428900959515,0.08799499920514739
student_experience_only_minus_routine_visible,repeated_grade,-0.3696634238594756,-0.44113144092109896,-0.29163005351680227
student_experience_only_minus_routine_visible,any_whole_day_absence,-0.5713097673524921,-0.6270130720890199,-0.5139742454463031
student_experience_only_minus_routine_visible,any_class_skipping,-0.41945230220432317,-0.4912755403736341,-0.3464504633339747
student_experience_only_minus_routine_visible,any_tardiness,-0.41817095247764136,-0.48159990805295483,-0.3583048956933601
missed_by_both_minus_student_experience_only,ST016Q01NA,0.5562391787699954,0.4075523253110375,0.7196611543199266
missed_by_both_minus_student_experience_only,BELONG,1.0563327530364504,0.9670533024353144,1.1415041160843797
missed_by_both_minus_student_experience_only,BULLIED,-1.5463169918309736,-1.6225732263508963,-1.4735880650061233
missed_by_both_minus_student_experience_only,TEACHSUP,0.5587500067790088,0.42891298645066983,0.7007899701489384
missed_by_both_minus_student_experience_only,ESCS,0.18142525856399108,0.05968172367389563,0.31904265596758036
missed_by_both_minus_student_experience_only,female,-0.04120413456553662,-0.09637718626305071,0.015052789518359058
missed_by_both_minus_student_experience_only,immigrant,-0.06047049327086776,-0.10967925678566162,-0.008807691866760076
missed_by_both_minus_student_experience_only,repeated_grade,-0.12956627899354722,-0.18618709129554584,-0.07803720522172701
missed_by_both_minus_student_experience_only,any_whole_day_absence,-0.09336896062566474,-0.14835699286324874,-0.03983788686453132
missed_by_both_minus_student_experience_only,any_class_skipping,-0.12620928279168142,-0.18251822160196088,-0.06668489475848698
missed_by_both_minus_student_experience_only,any_tardiness,-0.10344890672307033,-0.15928672902677338,-0.04123878232366462
