group,unweighted_rows_with_membership,weighted_share_of_low_life_satisfaction,ci_lower,ci_upper
routine_visible,569,0.16295458838094906,0.14659837409770787,0.1791042105732188
student_experience_only,669,0.16826080970973054,0.1500759359968475,0.18755829922391262
missed_by_both,2820,0.6687846019093204,0.6484174080154543,0.6879529814590309
