group,weighted_share_of_low_life_satisfaction,unweighted_rows_with_membership
selected_by_both,0.09711234948072933,317
routine_only,0.06584223890021974,252
student_experience_only,0.16826080970973054,669
neither,0.6687846019093204,2820
