slice_id,model,population,n,weighted_mean_outcome,mae,rmse,r2,calibration_intercept,calibration_slope,weighted_prevalence,auprc,auroc,brier,recall_at_5pct_capacity,precision_at_5pct_capacity,selected_weight_fraction_at_5pct_capacity,recall_at_10pct_capacity,precision_at_10pct_capacity,selected_weight_fraction_at_10pct_capacity,recall_at_15pct_capacity,precision_at_15pct_capacity,selected_weight_fraction_at_15pct_capacity,recall_at_20pct_capacity,precision_at_20pct_capacity,selected_weight_fraction_at_20pct_capacity
S1_continuous_outcome,routine_ridge,all target-valid,29588,6.883131888553647,1.7502779395072146,2.24540447944716,0.014775367645766924,0.467305613628227,0.9321324597673488,,,,,,,,,,,,,,,,
S1_continuous_outcome,routine_hgb,all target-valid,29588,6.883131888553647,1.7516438642580792,2.2444193787501288,0.015639650747340417,-0.17120788114426055,1.0235201745714704,,,,,,,,,,,,,,,,
S1_continuous_outcome,expanded_ridge,all target-valid,29588,6.883131888553647,1.6417839005987769,2.1222357491711326,0.11989731896777989,0.12404463924624132,0.982078496092545,,,,,,,,,,,,,,,,
S1_continuous_outcome,expanded_hgb,all target-valid,29588,6.883131888553647,1.604761801262028,2.083170839479542,0.15199997071057803,-0.16809717551132675,1.0235738342817156,,,,,,,,,,,,,,,,
S2_complete_case_retrained,expanded_logit,complete expanded predictors,27937,,,,,-0.0233751006268779,0.9867247650689617,0.1406468344656281,0.29994396808240337,0.7206385938802136,0.1109534795336155,0.148989674250367,0.419098521027584,0.050000000000000044,0.27067654929481105,0.38069799822394657,0.10000000000000014,0.3622412493573325,0.3396539002332205,0.1499999999999999,0.4414616277595291,0.3104509024121065,0.1999999999999997
S2_main_predictions_restricted,expanded_logit,complete expanded predictors,27937,,,,,-0.0001435279404626707,1.0027666643345583,0.1406468344656281,0.30001502341601727,0.7203384657537856,0.11095749709069709,0.14653548721724777,0.4121950482796872,0.05000000000000011,0.2736099632713678,0.3848237521237456,0.10000000000000021,0.3599166833443752,0.337474281225028,0.15000000000000005,0.44311393079521944,0.3116128583698461,0.19999999999999932
S2_complete_case_retrained,expanded_hgb,complete expanded predictors,27937,,,,,-0.015080617758415482,0.990426002139291,0.1406468344656281,0.3267779828998723,0.7400396490637176,0.10791711761308326,0.15736029810467506,0.4426445559798019,0.05000000000000005,0.3003361749008752,0.42241332275323273,0.1000000000000001,0.40578622258958374,0.3804836511799315,0.14999999999999994,0.48392471857769204,0.3403123989381121,0.19999999999999965
S2_main_predictions_restricted,expanded_hgb,complete expanded predictors,27937,,,,,0.004867629512401163,1.0123630992761463,0.1406468344656281,0.3277628327638146,0.7384563761593076,0.10812585210762828,0.15704837071833772,0.44176712399037266,0.05000000000000001,0.2957909201513736,0.416020565829661,0.0999999999999999,0.39767050729320064,0.3728739867408615,0.14999999999999974,0.4721408541275777,0.33202558277470917,0.1999999999999995
S3_audit_attributes,expanded_audit_logit,all target-valid,29588,,,,,-0.03496976959085628,0.9760893767950934,0.14576531643843837,0.32820208353509506,0.7353293691028604,0.11224507761941323,0.15174702648545987,0.44238906668490297,0.049999999999999996,0.2738606279011613,0.399193810860422,0.10000000000000002,0.37805669463321573,0.367383691499205,0.15000000000000002,0.4553044558465924,0.3318379904115487,0.1999999999999994
S3_audit_attributes,expanded_audit_hgb,all target-valid,29588,,,,,0.023346361377642805,1.0137533541274,0.14576531643843837,0.34862894711304393,0.7452142258745672,0.110500843596508,0.16688086912324138,0.48650885390541804,0.049999999999999996,0.29331728265267026,0.427554865227293,0.10000000000000012,0.39019366850718973,0.3791780237481709,0.15000000000000002,0.46906260947928297,0.3418652985009371,0.19999999999999973
