model,policy,recall,precision,selected_weight_fraction,group_axis,group,group_recall
expanded_hgb,global,,,,sex,female,0.29772571786235014
expanded_hgb,global,,,,sex,male,0.2506666571372513
expanded_hgb,global,,,,sex,max_minus_min,0.047059060725098856
expanded_hgb,global,,,,immigration_background,native,0.26841212520457286
expanded_hgb,global,,,,immigration_background,immigrant,0.31475473990987246
expanded_hgb,global,,,,immigration_background,max_minus_min,0.0463426147052996
expanded_hgb,global,,,,escs_weighted_tertile,low,0.30918769230931725
expanded_hgb,global,,,,escs_weighted_tertile,middle,0.2615844156339236
expanded_hgb,global,,,,escs_weighted_tertile,high,0.27309917437119446
expanded_hgb,global,,,,escs_weighted_tertile,max_minus_min,0.04760327667539366
expanded_hgb,within_school,0.26687428753533443,0.3890101497187081,0.10000000000000002,,,
expanded_hgb,within_school,,,,sex,female,0.27484079764357777
expanded_hgb,within_school,,,,sex,male,0.2525003837966767
expanded_hgb,within_school,,,,sex,max_minus_min,0.022340413846901053
expanded_hgb,within_school,,,,immigration_background,native,0.2603564998055618
expanded_hgb,within_school,,,,immigration_background,immigrant,0.2832206781651257
expanded_hgb,within_school,,,,immigration_background,max_minus_min,0.02286417835956389
expanded_hgb,within_school,,,,escs_weighted_tertile,low,0.2866027619337504
expanded_hgb,within_school,,,,escs_weighted_tertile,middle,0.2447369629602996
expanded_hgb,within_school,,,,escs_weighted_tertile,high,0.26647812436065427
expanded_hgb,within_school,,,,escs_weighted_tertile,max_minus_min,0.0418657989734508
