information_set,seed_a,seed_b,overlap_all_student_weight_share,queue_replacement_fraction,first_only_all_student_weight_share,second_only_all_student_weight_share,first_covered_low_life_satisfaction_displaced_fraction,second_covered_low_life_satisfaction_displaced_fraction,missed_by_both_low_life_satisfaction_share
routine,20260918,20260923,0.09067526132326727,0.09324738676732736,0.009324738676732718,0.009324738676732763,0.08610054267490634,0.05890161090176203,0.8277245264956195
routine,20260918,20260924,0.09146986591435473,0.0853013408564528,0.008530134085645262,0.008530134085645322,0.07528960612821214,0.08053061925562885,0.8238477770154338
routine,20260923,20260924,0.09206479004375727,0.07935209956242739,0.007935209956242783,0.007935209956242799,0.037304044110067866,0.07042578393739228,0.8302133855172423
expanded,20260918,20260923,0.09512985662898911,0.04870143371010893,0.004870143371011021,0.00487014337101095,0.03882881245601778,0.032994166126556965,0.7259239045859305
expanded,20260918,20260924,0.09464072630751903,0.0535927369248097,0.005359273692481109,0.005359273692480976,0.050456917392656786,0.04905055668917165,0.7216293900417865
expanded,20260923,20260924,0.09500800664814335,0.049919933518566495,0.004991993351856724,0.004991993351856661,0.03786886641360766,0.042257693466713056,0.7250305560879766
