cell,share_of_all_weight,share_of_low_ls_weight
both,0.0320828296161553,0.08013272260871032
bp_only,0.06791717038384472,0.08141410078930772
expanded_only,0.0679171703838447,0.1614637025967804
neither,0.8320828296161553,0.6769894740052015
