group,group_n,variable,valid_n,valid_weight,weighted_mean_or_proportion
included,29588,female,29588,438115.94905,0.4965161024648619
included,29588,immigrant,28799,424305.39188999997,0.14973589161099077
included,29588,ESCS,29375,434605.15365,-0.029668454607931223
included,29588,repeated_grade,29502,436540.8649,0.21584848009953167
included,29588,any_whole_day_skipping,29129,430366.59751,0.28237079420917716
included,29588,any_class_skipping,29043,429023.70475000003,0.2872417547459538
included,29588,any_tardiness,29113,430386.23235999997,0.4024811142543864
included,29588,BELONG,29290,432925.75785,0.27809631952456254
included,29588,BULLIED,29331,433295.53174,-0.3826338609354661
included,29588,TEACHSUP,28741,424606.51112,0.06313696163202401
excluded_invalid_or_missing_outcome,1212,female,1212,20913.47438,0.46229934272642836
excluded_invalid_or_missing_outcome,1212,immigrant,266,5077.99764,0.27623750333212055
excluded_invalid_or_missing_outcome,1212,ESCS,273,5374.002979999999,-0.31876118046495766
excluded_invalid_or_missing_outcome,1212,repeated_grade,273,5183.12187,0.3472650721214858
excluded_invalid_or_missing_outcome,1212,any_whole_day_skipping,257,4874.62961,0.3132189093644799
excluded_invalid_or_missing_outcome,1212,any_class_skipping,257,4824.09617,0.3947203461327347
excluded_invalid_or_missing_outcome,1212,any_tardiness,261,4961.56024,0.47937321627682183
excluded_invalid_or_missing_outcome,1212,BELONG,257,4782.314469999999,-0.23095148116660766
excluded_invalid_or_missing_outcome,1212,BULLIED,256,4758.07063,-0.049135245552040005
excluded_invalid_or_missing_outcome,1212,TEACHSUP,41,691.2172200000001,-0.927752197850337
