group,metric,estimate,brr_se,ci_lower,ci_upper
female,weighted_prevalence,0.18888800523958946,0.005337192933487592,0.17842710708995377,0.19934890338922515
female,calibration_intercept,0.3853072749277431,0.08460760369256076,0.219476371690324,0.5511381781651622
female,calibration_slope,1.0537450505962576,0.043749733888808776,0.9679955721741924,1.1394945290183227
female,recall,0.2661076618876159,0.01126187823514292,0.2440343805467358,0.288180943228496
female,precision,0.4721032510884506,0.02017667890856845,0.4325569604276564,0.5116495417492447
female,selection_rate,0.1064693905772439,0.0025012517652114783,0.10156693711742941,0.1113718440370584
male,weighted_prevalence,0.10323940950045454,0.003992049607763799,0.0954149922692375,0.11106382673167159
male,calibration_intercept,-0.5728322407573719,0.08183951394692487,-0.7332376880933447,-0.4124267934213992
male,calibration_slope,0.8798351140868182,0.04551699397248435,0.7906218059007489,0.9690484222728876
male,recall,0.2640479024693542,0.014498099439408394,0.23563162756811376,0.29246417737059466
male,precision,0.2911782595548088,0.015449186033538164,0.260897854929074,0.3214586641805436
male,selection_rate,0.09362014036504168,0.0024629118914878774,0.08879283305772544,0.09844744767235793
