model,fold,selected_C,term,coefficient_standardized,scaler_mean,scaler_scale,imputation_median
routine_logit_refit,0,0.1,ST001D01T,-0.0041468355557470055,9.769542804022649,0.500784749381774,10.0
routine_logit_refit,0,0.1,REPEAT,0.13245922846999297,0.19039972956984705,0.3926164445735509,0.0
routine_logit_refit,0,0.1,ST062Q01TA,0.147149965544355,1.331192427955717,0.6593339649574673,1.0
routine_logit_refit,0,0.1,ST062Q02TA,0.05075922548288541,1.3494464632806558,0.6744757283871872,1.0
routine_logit_refit,0,0.1,ST062Q03TA,0.1410416094248214,1.5721710470717485,0.8765909671205533,1.0
routine_logit_refit,0,0.1,missingindicator_REPEAT,0.06169271272367994,0.002873320375221837,0.053526296390121866,
routine_logit_refit,0,0.1,missingindicator_ST062Q01TA,0.0009719703158235543,0.015422969661117215,0.12322784453178377,
routine_logit_refit,0,0.1,missingindicator_ST062Q02TA,0.026134066315913904,0.01863432772754162,0.13522976579763862,
routine_logit_refit,0,0.1,missingindicator_ST062Q03TA,0.02367300455236942,0.016606101580326205,0.12779021469044527,
routine_logit_refit,1,0.1,ST001D01T,-0.04391714597086983,9.7710375126732,0.49263858237135283,10.0
routine_logit_refit,1,0.1,REPEAT,0.11158591076771644,0.1917032781345049,0.3936408658752157,0.0
routine_logit_refit,1,0.1,ST062Q01TA,0.1371000004400573,1.3253210544102738,0.6507236775269444,1.0
routine_logit_refit,1,0.1,ST062Q02TA,0.06508724841261639,1.346823251098344,0.6718957856639265,1.0
routine_logit_refit,1,0.1,ST062Q03TA,0.08851380393082173,1.56471781007097,0.8691623768708755,1.0
routine_logit_refit,1,0.1,missingindicator_REPEAT,0.07408134016195708,0.002914836093274755,0.05391047972170251,
routine_logit_refit,1,0.1,missingindicator_ST062Q01TA,0.02140530656842473,0.01592598850963163,0.12518926231759142,
routine_logit_refit,1,0.1,missingindicator_ST062Q02TA,0.02817509355408508,0.018207164582629266,0.13369990179686114,
routine_logit_refit,1,0.1,missingindicator_ST062Q03TA,-0.003966637296244166,0.015799256505576207,0.12469819565433661,
routine_logit_refit,2,0.1,ST001D01T,-0.005732190189790204,9.777618182586288,0.49111845296808965,10.0
routine_logit_refit,2,0.1,REPEAT,0.13179917853465256,0.1839381521693211,0.38743374704051886,0.0
routine_logit_refit,2,0.1,ST062Q01TA,0.1158417631327642,1.330953487389633,0.6607747803683959,1.0
routine_logit_refit,2,0.1,ST062Q02TA,0.10243505336902581,1.3502598115837945,0.6747463689569816,1.0
routine_logit_refit,2,0.1,ST062Q03TA,0.11481405799181167,1.573064086857336,0.8789567571009252,1.0
routine_logit_refit,2,0.1,missingindicator_REPEAT,0.08321471516120954,0.0028727134468336784,0.05352065922880678,
routine_logit_refit,2,0.1,missingindicator_ST062Q01TA,0.021619149609048875,0.01579992395758523,0.1247007873291895,
routine_logit_refit,2,0.1,missingindicator_ST062Q02TA,0.02896795046573491,0.018799374762367455,0.1358158984468001,
routine_logit_refit,2,0.1,missingindicator_ST062Q03TA,-0.0043344257669872665,0.01601115288749947,0.12551810973207247,
routine_logit_refit,3,0.1,ST001D01T,0.019434345284358803,9.77973047188543,0.4886232492089915,10.0
routine_logit_refit,3,0.1,REPEAT,0.1524322571739683,0.18355794009547546,0.3871232655413277,0.0
routine_logit_refit,3,0.1,ST062Q01TA,0.1148383406228881,1.3285454775886105,0.6512630371900782,1.0
routine_logit_refit,3,0.1,ST062Q02TA,0.08964640994341377,1.3450635799079043,0.6735094658611946,1.0
routine_logit_refit,3,0.1,ST062Q03TA,0.1362084708612116,1.5667694647458916,0.8736739618320641,1.0
routine_logit_refit,3,0.1,missingindicator_REPEAT,0.04714251686041946,0.0028727134468336784,0.05352065922880677,
routine_logit_refit,3,0.1,missingindicator_ST062Q01TA,0.024120595626019536,0.015377466097756748,0.12304876933220052,
routine_logit_refit,3,0.1,missingindicator_ST062Q02TA,0.008770383146437303,0.01816568797262473,0.13355034913135183,
routine_logit_refit,3,0.1,missingindicator_ST062Q03TA,0.03559228548979308,0.01601115288749947,0.12551810973207247,
routine_logit_refit,4,0.1,ST001D01T,0.015067275634260401,9.774586008786752,0.4934169088934921,10.0
routine_logit_refit,4,0.1,REPEAT,0.14325018999864503,0.18726765799256506,0.3901262388798589,0.0
routine_logit_refit,4,0.1,ST062Q01TA,0.13833726103855432,1.3331361946603582,0.661833300291934,1.0
routine_logit_refit,4,0.1,ST062Q02TA,0.04034565317965904,1.3461051030753632,0.6708506479535746,1.0
routine_logit_refit,4,0.1,ST062Q03TA,0.15525612687343188,1.568012842176411,0.8731785784392659,1.0
routine_logit_refit,4,0.1,missingindicator_REPEAT,0.07844960986500121,0.002999324095978371,0.05468389297540596,
routine_logit_refit,4,0.1,missingindicator_ST062Q01TA,0.014816062531291693,0.015038864481243664,0.12170742391636778,
routine_logit_refit,4,0.1,missingindicator_ST062Q02TA,0.0035841218121742914,0.01829165258533288,0.13400398513115333,
routine_logit_refit,4,0.1,missingindicator_ST062Q03TA,0.02876970186907812,0.015841500506928015,0.1248621134236363,
routine_plus_belong_logit,0,10.0,ST001D01T,6.544878543995648e-05,9.769542804022649,0.500784749381774,10.0
routine_plus_belong_logit,0,10.0,REPEAT,0.11519024724212987,0.19039972956984705,0.3926164445735509,0.0
routine_plus_belong_logit,0,10.0,ST062Q01TA,0.13647413604518455,1.331192427955717,0.6593339649574673,1.0
routine_plus_belong_logit,0,10.0,ST062Q02TA,0.04285963791226017,1.3494464632806558,0.6744757283871872,1.0
routine_plus_belong_logit,0,10.0,ST062Q03TA,0.13392887674387635,1.5721710470717485,0.8765909671205533,1.0
routine_plus_belong_logit,0,10.0,BELONG,-0.6177098258012808,0.3104619665342686,1.1421021891307759,0.1885
routine_plus_belong_logit,0,10.0,missingindicator_REPEAT,0.05174787494292807,0.002873320375221837,0.053526296390121866,
routine_plus_belong_logit,0,10.0,missingindicator_ST062Q01TA,-0.0010718372578061666,0.015422969661117215,0.12322784453178377,
routine_plus_belong_logit,0,10.0,missingindicator_ST062Q02TA,0.024085718613403254,0.01863432772754162,0.13522976579763862,
routine_plus_belong_logit,0,10.0,missingindicator_ST062Q03TA,0.008066213905840907,0.016606101580326205,0.12779021469044527,
routine_plus_belong_logit,0,10.0,missingindicator_BELONG,0.04426089958536657,0.010521423138679964,0.10203294954972542,
routine_plus_belong_logit,1,10.0,ST001D01T,-0.04608627945377714,9.7710375126732,0.49263858237135283,10.0
routine_plus_belong_logit,1,10.0,REPEAT,0.0867514130011014,0.1917032781345049,0.3936408658752157,0.0
routine_plus_belong_logit,1,10.0,ST062Q01TA,0.12495804968908691,1.3253210544102738,0.6507236775269444,1.0
routine_plus_belong_logit,1,10.0,ST062Q02TA,0.05908648476315033,1.346823251098344,0.6718957856639265,1.0
routine_plus_belong_logit,1,10.0,ST062Q03TA,0.07825767386789685,1.56471781007097,0.8691623768708755,1.0
routine_plus_belong_logit,1,10.0,BELONG,-0.59153132640257,0.3148042075025347,1.1330604042301569,0.1945
routine_plus_belong_logit,1,10.0,missingindicator_REPEAT,0.05754305444890087,0.002914836093274755,0.05391047972170251,
routine_plus_belong_logit,1,10.0,missingindicator_ST062Q01TA,0.021898798130605822,0.01592598850963163,0.12518926231759142,
