model,group_axis,group,n,weighted_prevalence,calibration_intercept,calibration_slope,recall,precision,selection_rate
expanded_logit_main,sex,female,14663,0.18888800523958946,0.3853072749277431,1.0537450505962576,0.2661076618876159,0.4721032510884506,0.1064693905772439
expanded_logit_main,sex,male,14925,0.10323940950045454,-0.5728322407573719,0.8798351140868182,0.2640479024693542,0.2911782595548088,0.09362014036504168
expanded_logit_main,immigration_background,native,25034,0.13233832405181511,-0.008001704506797347,1.028210019078156,0.24236565580544928,0.37870673993775616,0.08469420085389535
expanded_logit_main,immigration_background,immigrant,3765,0.20585904087890494,-0.08020967557775469,0.7818120697758703,0.30184882806811464,0.4080247890265105,0.15229052721227251
expanded_logit_main,escs_weighted_tertile,low,9221,0.174071136005217,0.009827236212880026,0.9416848341845119,0.313904013630618,0.4134427965058402,0.1321624870745739
expanded_logit_main,escs_weighted_tertile,middle,9997,0.1492357801380013,-0.0024568293931812035,0.9708316819258422,0.22738527760552824,0.36026482528165915,0.09419187473777657
expanded_logit_main,escs_weighted_tertile,high,10157,0.11087634837282896,-0.1897679555450559,0.9934496498157359,0.22959430453031995,0.3718575877112196,0.06845786918106517
expanded_audit_logit,sex,female,14663,0.18888800523958946,0.05421654973702053,1.039834981439048,0.36473507272909117,0.4175988478605754,0.1649767011611019
expanded_audit_logit,sex,male,14925,0.10323940950045454,-0.2251928934936329,0.8838430163999808,0.10989667072134039,0.3158371625148794,0.035922521912862514
expanded_audit_logit,immigration_background,native,25034,0.13233832405181511,0.05456323371571325,1.0309463932368719,0.22762366134207776,0.4095113688375521,0.07355921263445568
expanded_audit_logit,immigration_background,immigrant,3765,0.20585904087890494,-0.19880062160904813,0.835790603264508,0.4078561289878209,0.3898783714434512,0.2153514472197225
expanded_audit_logit,escs_weighted_tertile,low,9221,0.174071136005217,-0.11199920877743588,0.9294391203600144,0.3647931673257106,0.4048684496912867,0.15684097165819305
expanded_audit_logit,escs_weighted_tertile,middle,9997,0.1492357801380013,0.07237226608863374,0.999010999555383,0.22458065272224886,0.3821162550838363,0.08771013655399994
expanded_audit_logit,escs_weighted_tertile,high,10157,0.11087634837282896,-0.010985931971076147,1.0276944165454829,0.1885123107247686,0.42451652682749935,0.04923614350821185
