model,n,weighted_prevalence,auprc,auroc,brier,calibration_intercept,calibration_slope,recall_at_5pct_capacity,precision_at_5pct_capacity,selected_weight_fraction_at_5pct_capacity,recall_at_10pct_capacity,precision_at_10pct_capacity,selected_weight_fraction_at_10pct_capacity,recall_at_15pct_capacity,precision_at_15pct_capacity,selected_weight_fraction_at_15pct_capacity,recall_at_20pct_capacity,precision_at_20pct_capacity,selected_weight_fraction_at_20pct_capacity
routine_logit,29588,0.14576531643843837,0.19968719409216784,0.5996992401569652,0.12272620218116655,-0.08978425224427711,0.9470394386804176,0.08948743886593116,0.26088329687115713,0.05000000000000004,0.16295458838094906,0.23753127140444513,0.09999999999999999,0.22998147189574908,0.22348881350574457,0.15000000000000002,0.3001725423448921,0.21877372810516865,0.20000000000000007
expanded_logit,29588,0.14576531643843837,0.30341680359226025,0.7191720785591024,0.11442135502698371,-0.03177691436002384,0.978792238905522,0.14142173911214498,0.41228769105912144,0.05000000000000004,0.26537315919045984,0.38682202523665415,0.10000000000000013,0.3537968439766529,0.34380872611451757,0.14999999999999997,0.43297884726402885,0.31556649341295845,0.19999999999999923
expanded_hgb,29588,0.14576531643843837,0.32887827551473353,0.7355117097794511,0.11179211554736776,0.0032440389717293683,1.0004134808412455,0.1499331014900178,0.4371009196657783,0.05000000000000006,0.28094462841968787,0.40951982663275327,0.09999999999999991,0.38684608458508885,0.37592494621677613,0.14999999999999988,0.4659263767403915,0.3395795287128924,0.19999999999999926
routine_plus_belong_logit,29588,0.14576531643843837,0.2543973232783181,0.7032354080174679,0.11841660651883043,-0.03558708097656179,0.9766821378234509,0.09807745981778396,0.28592583931634974,0.050000000000000065,0.2056873487312644,0.2998208147519604,0.10000000000000049,0.3114830531840265,0.30268950541720263,0.15000000000000055,0.40261062858916713,0.2934333283888924,0.20000000000000015
routine_plus_bullied_logit,29588,0.14576531643843837,0.2678957781434213,0.6784545129896917,0.11775986279137626,-0.035143640641248516,0.9774724796884442,0.1241538826660082,0.3619465998774284,0.05000000000000004,0.23228273058334806,0.33858765726666185,0.10000000000000021,0.32193411732867483,0.31284552323162407,0.15000000000000008,0.3954314591198376,0.28820095884158314,0.1999999999999997
routine_plus_teachsup_logit,29588,0.14576531643843837,0.20801832132075235,0.6097458980351877,0.1222035265421609,-0.07977249697280453,0.9525619539337788,0.0968317267444121,0.2822941458035922,0.05000000000000006,0.1697031940924777,0.24736839787503734,0.10000000000000002,0.24224250333071282,0.23540370101893868,0.15000000000000008,0.3007883089838312,0.21922251520005478,0.1999999999999999
experiences_only_logit,29588,0.14576531643843837,0.2983571349766336,0.7111606259742105,0.11492546417556077,-0.014272324115810727,0.9908051388955926,0.1426246947858634,0.41579467534794085,0.05000000000000007,0.2572525574689378,0.37498500444057214,0.10000000000000016,0.3492510667900354,0.3393912817807444,0.15000000000000008,0.4346459783701525,0.3167815428791,0.19999999999999976
expanded_altbully_logit,29588,0.14576531643843837,0.2903101417069509,0.7154658816047248,0.1159337294849362,-0.04109121431990989,0.9738155893156857,0.1291443745979771,0.37649541259036673,0.05000000000000005,0.23760750125356608,0.3463493260837262,0.10000000000000024,0.3325527441330648,0.3231643732068478,0.15000000000000016,0.43150632231812125,0.3144932780894391,0.1999999999999997
expanded_hgb_no_earlystop,29588,0.14576531643843837,0.3282603805831544,0.7353393018208656,0.11207701053749466,-0.07373841832641846,0.9497190651310223,0.14644953615410575,0.42694525959531426,0.05000000000000007,0.28171845620330904,0.4106477991502371,0.09999999999999995,0.38826401099827734,0.3773028428321416,0.14999999999999997,0.4656373606083739,0.3393688860731952,0.19999999999999948
