model,reference,metric,estimate_delta,brr_se,ci_lower,ci_upper
routine_plus_belong_logit,routine_logit,weighted_average_precision,0.05471012918615026,0.004607654382227488,0.04567912659698438,0.06374113177531614
routine_plus_belong_logit,routine_logit,recall_at_10pct_capacity,0.04273276035031534,0.008236315200893555,0.026589582556563976,0.058875938144066706
routine_plus_belong_logit,routine_logit,precision_at_10pct_capacity,0.06228954334751524,0.011895570162805796,0.03897422582841588,0.0856048608666146
routine_plus_bullied_logit,routine_logit,weighted_average_precision,0.06820858405125346,0.00633530912961301,0.05579137815721196,0.08062578994529496
routine_plus_bullied_logit,routine_logit,recall_at_10pct_capacity,0.069328142202399,0.009692472458659805,0.050330896183425775,0.08832538822137222
routine_plus_bullied_logit,routine_logit,precision_at_10pct_capacity,0.10105638586221671,0.014279673761570674,0.07306822528953819,0.12904454643489524
routine_plus_teachsup_logit,routine_logit,weighted_average_precision,0.008331127228584506,0.002144058055135069,0.0041287734405197705,0.012533481016649242
routine_plus_teachsup_logit,routine_logit,recall_at_10pct_capacity,0.006748605711528632,0.005624570448364336,-0.0042755523672654665,0.01777276379032273
routine_plus_teachsup_logit,routine_logit,precision_at_10pct_capacity,0.009837126470592206,0.008258402991339175,-0.006349343392432576,0.026023596333616988
experiences_only_logit,routine_logit,weighted_average_precision,0.09866994088446573,0.008527331254244363,0.08195637162614679,0.11538351014278468
experiences_only_logit,routine_logit,recall_at_10pct_capacity,0.09429796908798876,0.011897930831592945,0.07097802465806659,0.11761791351791094
experiences_only_logit,routine_logit,precision_at_10pct_capacity,0.137453733036127,0.017356826527029703,0.1034343530431488,0.17147311302910523
expanded_logit,routine_logit,weighted_average_precision,0.10372960950009241,0.006875527203461418,0.09025357618130803,0.1172056428188768
expanded_logit,routine_logit,recall_at_10pct_capacity,0.10241857080951078,0.010569871015508398,0.08170162361911432,0.12313551799990724
expanded_logit,routine_logit,precision_at_10pct_capacity,0.14929075383220902,0.015051228033969482,0.11979034688562884,0.1787911607787892
expanded_logit,experiences_only_logit,weighted_average_precision,0.005059668615626678,0.0032884075439820744,-0.0013856101705781877,0.011504947401831543
expanded_logit,experiences_only_logit,recall_at_10pct_capacity,0.008120601721522014,0.0056223495001081715,-0.002899203298690003,0.01914040674173403
expanded_logit,experiences_only_logit,precision_at_10pct_capacity,0.01183702079608201,0.008144531063517198,-0.004126260088411698,0.027800301680575717
expanded_altbully_logit,routine_logit,weighted_average_precision,0.09062294761478307,0.006346970437266366,0.07818288555774099,0.10306300967182515
expanded_altbully_logit,routine_logit,recall_at_10pct_capacity,0.07465291287261702,0.009563119755605691,0.05590919815162987,0.09339662759360418
expanded_altbully_logit,routine_logit,precision_at_10pct_capacity,0.10881805467928107,0.013733837690738984,0.08189973280543267,0.13573637655312948
expanded_altbully_logit,expanded_logit,weighted_average_precision,-0.013106661885309345,0.002038280224791351,-0.017101691125900393,-0.009111632644718298
expanded_altbully_logit,expanded_logit,recall_at_10pct_capacity,-0.027765657936893756,0.00407114494774636,-0.035745102034476624,-0.01978621383931089
expanded_altbully_logit,expanded_logit,precision_at_10pct_capacity,-0.04047269915292795,0.005863827309181378,-0.05196580067892345,-0.028979597626932446
expanded_hgb_no_earlystop,expanded_hgb,weighted_average_precision,-0.0006178949315791549,0.002142033232021149,-0.004816280066340607,0.003580490203182297
expanded_hgb_no_earlystop,expanded_hgb,recall_at_10pct_capacity,0.0007738277836211727,0.0041371756900299575,-0.007335036568837544,0.00888269213607989
expanded_hgb_no_earlystop,expanded_hgb,precision_at_10pct_capacity,0.0011279725174838107,0.006007634501045465,-0.0106469911045653,0.012902936139532922
