life_satisfaction_score,unweighted_n,routine_miss_rate,expanded_miss_rate,neither_selected_rate,share_of_neither_low_group
0,420,0.7029353277627414,0.5249288579020782,0.4507122961527327,0.07024997790809896
1,479,0.8103077315741801,0.6598092661623874,0.5866442598852868,0.10553603290475438
2,530,0.8396841278432129,0.6921799716030321,0.6368050706055315,0.12443022091068913
3,1031,0.8477654919142158,0.7613605933557598,0.6864065876283677,0.2624590381076362
4,1597,0.8733142618960847,0.8106352979927173,0.7517746470360879,0.4373247301688214
