population,cell,weighted_share,brr_se,ci_lower,ci_upper
all_students,both,0.03626423507012329,0.0011509593984341,0.034008354649192454,0.03852011549105412
all_students,routine_only,0.0637357649298767,0.0011509593984340794,0.06147988450894591,0.0659916453508075
all_students,expanded_only,0.06373576492987686,0.0011509593984341219,0.06147988450894598,0.06599164535080773
all_students,neither,0.8362642350701233,0.00115095939843407,0.8340083546491925,0.838520115491054
all_students,union,0.16373576492987685,0.0011509593984341,0.16147988450894601,0.16599164535080768
low_life_satisfaction,both,0.09711234948072933,0.007012037988265723,0.08336875502372851,0.11085594393773016
low_life_satisfaction,routine_only,0.06584223890021974,0.005393098809851955,0.055271765232909914,0.07641271256752957
low_life_satisfaction,expanded_only,0.16826080970973054,0.008651259577618257,0.15130434093759876,0.1852172784818623
low_life_satisfaction,neither,0.6687846019093204,0.00788307543843177,0.6533337740499942,0.6842354297686467
low_life_satisfaction,union,0.3312153980906796,0.007883075438431808,0.3157645702313533,0.34666622595000596
