contrast,variable,difference,ci_lower,ci_upper
expanded_only_minus_routine_only,ST016Q01NA,-0.2831768603395113,-0.5251804784739694,-0.017824706365582275
expanded_only_minus_routine_only,BELONG,-1.5071758553600638,-1.7479338870676229,-1.2926972577656308
expanded_only_minus_routine_only,BULLIED,1.6855199687237856,1.4953049751198595,1.8856442614171856
expanded_only_minus_routine_only,TEACHSUP,-0.4840897977868861,-0.7189856941107932,-0.23836935669180215
expanded_only_minus_routine_only,ESCS,0.08479972061709468,-0.13431776837677953,0.3072144519720753
expanded_only_minus_routine_only,female,0.05993513932999306,-0.04214606725981773,0.1634508254166636
expanded_only_minus_routine_only,immigrant,0.030605630516929383,-0.055158112800014966,0.11228808920080836
expanded_only_minus_routine_only,repeated_grade,-0.32761274610363633,-0.4145853278818302,-0.22676782632175743
expanded_only_minus_routine_only,any_whole_day_skipping,-0.5633941851775879,-0.6286768433814852,-0.4979406111645816
expanded_only_minus_routine_only,any_class_skipping,-0.41407284604084926,-0.5111327013045222,-0.31576307382066543
expanded_only_minus_routine_only,any_tardiness,-0.4098034908013767,-0.48641302813227305,-0.3368284420826345
