group,variable,estimate,ci_lower,ci_upper
both,ST016Q01NA,2.124161797734793,1.8816859993619035,2.366877908804347
both,BELONG,-0.7821257821233516,-0.8655819224279226,-0.6969007169694045
both,BULLIED,1.0739699974895223,0.944128539117785,1.2176580209520278
both,TEACHSUP,-0.41453209530015384,-0.5962908676925112,-0.23814148998534737
both,ESCS,-0.6568767119574561,-0.8561691803405937,-0.4520807122185923
both,female,0.5750838683214663,0.49950710030454876,0.6439865007455646
both,immigrant,0.2445209603228346,0.1723510733269735,0.322632035059258
both,repeated_grade,0.7206293643152311,0.6318059587886148,0.793388840675698
both,any_whole_day_skipping,0.9301527302186636,0.8901995042531343,0.9646701576707382
both,any_class_skipping,0.814759385972739,0.7419674426450878,0.8801837152925339
both,any_tardiness,0.9199484305864324,0.8760907087196791,0.9593477226668953
routine_only,ST016Q01NA,2.618010191293843,2.3976655038639545,2.817321660577593
routine_only,BELONG,0.38719498013692183,0.17596299596883686,0.6357899371055015
routine_only,BULLIED,-0.39005466393413096,-0.5765061739862907,-0.21452912424735518
routine_only,TEACHSUP,-0.05435097665065301,-0.26340829320840786,0.1571529653676871
routine_only,ESCS,-0.40152143599956314,-0.5929198093330208,-0.2283141630562805
routine_only,female,0.6257081467113857,0.5329134487545992,0.7078148377279456
routine_only,immigrant,0.22879511473404485,0.15816855050863804,0.3031299450984257
routine_only,repeated_grade,0.6477986821895496,0.5647451096131549,0.7220519386061235
routine_only,any_whole_day_skipping,0.916538229947681,0.8749584678492077,0.9550742990116162
routine_only,any_class_skipping,0.8054693642743702,0.7164868912852707,0.8849010261504531
routine_only,any_tardiness,0.9053916402708622,0.856564600008999,0.9489851787801877
expanded_only,ST016Q01NA,2.3348333309543317,2.188563534750669,2.483093225777574
expanded_only,BELONG,-1.119980875223142,-1.1882649908291052,-1.056343737806205
expanded_only,BULLIED,1.2954653047896547,1.2357751051020236,1.3590202390782706
expanded_only,TEACHSUP,-0.5384407744375391,-0.6607389325878515,-0.4118338385683622
expanded_only,ESCS,-0.31672171538246846,-0.44853505559556517,-0.18675386400450797
expanded_only,female,0.6856432860413788,0.6302871147800801,0.7334660428960116
expanded_only,immigrant,0.25940074525097423,0.2065293023038696,0.31037425316852263
expanded_only,repeated_grade,0.3201859360859133,0.27269085969286727,0.3733374834521224
expanded_only,any_whole_day_skipping,0.3531440447700931,0.3018172153133982,0.40053400981812015
expanded_only,any_class_skipping,0.39139651823352095,0.3381175855425151,0.4401616163525751
expanded_only,any_tardiness,0.4955881494694855,0.43891294939479164,0.5537935469309481
neither,ST016Q01NA,2.891072509724327,2.8278039453234056,2.955407075478696
neither,BELONG,-0.06364812218669165,-0.11020591338918846,-0.012334521577914068
neither,BULLIED,-0.2508516870413189,-0.2938566176781113,-0.2033595660989769
neither,TEACHSUP,0.020309232341469637,-0.05548538282685297,0.09330960833950737
neither,ESCS,-0.13529645681847738,-0.2069935430170475,-0.06832613422714165
neither,female,0.6444391514758422,0.6174093510300286,0.670706681239371
neither,immigrant,0.19893025198010647,0.1743848639168742,0.2248877881639077
neither,repeated_grade,0.19061965709236606,0.16801719669034268,0.21620936750575387
neither,any_whole_day_skipping,0.25977508414442835,0.23572856325350472,0.2818605073871619
neither,any_class_skipping,0.26518723544183953,0.241130544900438,0.28983539383797957
neither,any_tardiness,0.39213924274641515,0.36395070409725594,0.42469352947802064
