contrast,metric,mean_delta,ci_2.5,ci_97.5
expanded_hgb-expanded_logit,auprc,0.02563137149628076,0.015399051553982577,0.036301760944864106
expanded_hgb-expanded_logit,recall_at_10pct_capacity,0.015745796484866126,0.0031717900499181064,0.029096757853940187
expanded_logit-routine_logit,auprc,0.10393294269773391,0.08977805369184735,0.1175170078172904
expanded_logit-routine_logit,recall_at_10pct_capacity,0.1037694940710965,0.08460990019536892,0.1220989708895441
routine_logit-routine_hgb,auprc,0.004816127217956738,0.00035202893674890636,0.009779733220718028
routine_logit-routine_hgb,recall_at_10pct_capacity,0.0054338257124796644,-0.007268615475164246,0.018436394965823034
