model,split,fold,fold_label,n,weighted_prevalence,auprc,auroc,brier,calibration_intercept,calibration_slope,recall_at_5pct_capacity,precision_at_5pct_capacity,selected_weight_fraction_at_5pct_capacity,recall_at_10pct_capacity,precision_at_10pct_capacity,selected_weight_fraction_at_10pct_capacity,recall_at_15pct_capacity,precision_at_15pct_capacity,selected_weight_fraction_at_15pct_capacity,recall_at_20pct_capacity,precision_at_20pct_capacity,selected_weight_fraction_at_20pct_capacity
routine_logit,school_nested,0,0,5922,0.13646321461561847,0.18299717283404565,0.5928090805289866,0.11656947188100183,-0.2618637007970233,0.890851106348794,0.0811196314596905,0.22139691354847246,0.04999999999999999,0.15157330441106953,0.20684180369846247,0.1,0.22667251902857993,0.20621640407773317,0.14999999999999994,0.2897528261813818,0.19770301052335956,0.19999999999999996
routine_logit,school_nested,1,1,5916,0.14891165081614768,0.21372056076494966,0.6086533317892754,0.12425332389743209,0.18465345114162743,1.0916605113378268,0.10030700132818471,0.29873762312395,0.05,0.17779140939227547,0.2647521227353329,0.1,0.2659334233158233,0.2640039004876578,0.15,0.3250484287841484,0.2420174906272129,0.19999999999999993
routine_logit,school_nested,2,2,5917,0.14894431298711716,0.19804749962900187,0.6008188243968803,0.1253058046191323,-0.17187013709099563,0.884471853688884,0.07750686961436191,0.23088414892986409,0.049999999999999996,0.17236955648510027,0.25673465170567344,0.10000000000000002,0.22662291807567028,0.22502796559944302,0.15,0.2869669771223922,0.2137104962874224,0.20000000000000004
routine_logit,school_nested,3,3,5917,0.145070640625177,0.2062398115209015,0.5844698453941222,0.12197073761351133,-0.15279802841745405,0.9256792357274645,0.10671921069100777,0.3096364852391548,0.04999999999999998,0.16012447746162284,0.23229360525129342,0.1,0.23368383602800077,0.22600442530887252,0.15000000000000005,0.30237176977872643,0.2193263317438418,0.2000000000000001
routine_logit,school_nested,4,4,5916,0.14717377057193964,0.192669169342785,0.6071609021722898,0.12403753913742988,-0.06313200061031007,0.9434900047017004,0.07704900109705098,0.22679184020509008,0.050000000000000024,0.1448164901254889,0.2131318889276227,0.09999999999999999,0.21277950122999204,0.20877040997623067,0.15,0.29306851039001053,0.2156599885499975,0.2000000000000001
routine_logit,region_iecv,0,Andalucía,1632,0.14525764758628684,0.18737496611674445,0.5990915346363679,0.12351533108283616,-0.4950689254778931,0.7390578608336249,0.07629367085260667,0.2216447830754421,0.05,0.11835735163671623,0.17192310473292355,0.10000000000000002,0.21794688714983615,0.2110563475075942,0.15000000000000002,0.2914144374563789,0.21165087828797352,0.20000000000000004
routine_logit,region_iecv,1,Aragón,1393,0.13393413220945374,0.20271014323001743,0.5989834721841303,0.11400792838962266,-0.03838275317231686,1.048544331624513,0.11509048988769455,0.3082908977733855,0.050000000000000024,0.16582640131693804,0.22209815157800714,0.10000000000000002,0.23825956085682534,0.21274058349309616,0.15000000000000005,0.28576329691807717,0.1913672959501757,0.19999999999999996
routine_logit,region_iecv,2,Asturias,1687,0.1453318157024315,0.1993665478160166,0.603710809697223,0.12262361044281854,-0.14048383631986974,0.9092897375859205,0.06934511579514262,0.2015610317720688,0.05,0.1679749277338864,0.2441210124005043,0.1,0.2502167716190911,0.24242971825735435,0.14999999999999997,0.34378416364578673,0.24981388356192027,0.1999999999999999
routine_logit,region_iecv,3,Baleares,1546,0.12181045227358567,0.16598837924876528,0.5947058094976986,0.106641837624997,-0.4633461590582462,0.8533744226987152,0.08248794895184686,0.20095788737889825,0.05000000000000001,0.12819309352190425,0.15615258700253226,0.09999999999999999,0.20582460649321116,0.16714392270647235,0.14999999999999997,0.27231594032498135,0.16585463926146377,0.19999999999999996
routine_logit,region_iecv,4,Canarias,1478,0.17190796929891455,0.22918247146772003,0.576980622936578,0.14103155489610714,-0.09262272073193044,0.8384299199012476,0.09088432629108567,0.3124747994760098,0.049999999999999996,0.14814622678325742,0.2546751700560625,0.1,0.22659278747997733,0.2596873730230895,0.14999999999999997,0.29353537570501337,0.2523053517742139,0.2
routine_logit,region_iecv,5,Cantabria,1653,0.1557120978917798,0.22821036828542388,0.613349313533183,0.12860924162878573,0.30105039000672024,1.1179102232680653,0.108080312401668,0.33658824369725343,0.049999999999999996,0.18009624965921567,0.2804316485687821,0.09999999999999998,0.25475203461459084,0.26445315834691485,0.15000000000000008,0.3187735248370746,0.24818447152369127,0.20000000000000004
routine_logit,region_iecv,6,Castilla - La Mancha,1513,0.15435313159757238,0.1842978662154401,0.5880134544260838,0.1305814017854608,-0.5858203274865228,0.6344532278042911,0.05531868067591429,0.17077223196346966,0.05,0.12432616593014242,0.191901330508369,0.09999999999999998,0.20609295561506424,0.2120739539958978,0.14999999999999994,0.27071363664328457,0.2089274879102916,0.19999999999999993
routine_logit,region_iecv,7,Castilla y León,1696,0.11189787463709054,0.1539343411074465,0.581069422426393,0.0995803987676768,-0.5464349966828409,0.8585557838227292,0.09453960652781902,0.2115756207897952,0.05,0.15544879124969677,0.1739438935574582,0.10000000000000003,0.2311780760108065,0.17245556912200674,0.15000000000000002,0.32671184543536747,0.18279180561489625,0.2
