model,split,group_axis,group,n,events,weighted_prevalence,auprc,auroc,brier,calibration_intercept,calibration_slope,recall_at_global_10pct_capacity,precision_at_global_10pct_capacity,selection_rate
routine_logit,school_nested,sex,female,14663,2604,0.18888800523958946,0.2581870585712877,0.6144426254082941,0.15226911391512937,0.47319471190686174,1.0804199312408007,0.15083186328095222,0.29864716329637947,0.09539795880610975
routine_logit,school_nested,sex,male,14925,1453,0.10323940950045454,0.14944431900913605,0.5869503538468371,0.09359213957971675,-0.5703020268591356,0.9065920058380789,0.1848275140748809,0.18253093626536718,0.1045383528016676
routine_logit,school_nested,immigration_background,native,25034,3116,0.13233832405181511,0.1820718927027447,0.5991195332614041,0.1133936406651278,-0.10742807986539041,0.986898189249177,0.14708659995571424,0.22416899343752758,0.0868326784633739
routine_logit,school_nested,immigration_background,immigrant,3765,777,0.20585904087890494,0.23337711737146422,0.5435600919233818,0.16596403794575557,-0.6041287999456085,0.4364252245546987,0.1674494725457158,0.24672476163073326,0.13971434235503058
routine_logit,school_nested,escs_weighted_tertile,low,9221,1551,0.174071136005217,0.21622558107629974,0.5821764383087144,0.14291324392038424,-0.3351317230108174,0.7205597660811854,0.20632846765689847,0.23340199900490166,0.15387970500842937
routine_logit,school_nested,escs_weighted_tertile,middle,9997,1388,0.1492357801380013,0.21050778707173806,0.6017388415325567,0.12491354920682986,0.12780137004740355,1.043620097956716,0.13736696611714003,0.25072051748630414,0.08176461407791095
routine_logit,school_nested,escs_weighted_tertile,high,10157,1066,0.11087634837282896,0.15057222953323907,0.5799227431539651,0.09834340190939769,-0.35309218194245406,0.930433743776586,0.11186285722940287,0.21592625050607514,0.05744065438582856
routine_logit,region_iecv,sex,female,14663,2604,0.18888800523958946,0.25641035625823916,0.6087627306087364,0.15226202952815607,0.45157663116409985,1.0699673469654734,0.14302571037425982,0.28824856354181533,0.09372411365599082
routine_logit,region_iecv,sex,male,14925,1453,0.10323940950045454,0.1466751998224861,0.5827092750262869,0.09369348747739056,-0.5947345298379745,0.893813477448947,0.18365299235843072,0.17855164406392243,0.10618903333809694
routine_logit,region_iecv,immigration_background,native,25034,3116,0.13233832405181511,0.18102573621978255,0.5921025124763897,0.11346406129726375,-0.15675215142941717,0.9612073739860758,0.14485278234948365,0.21736302147586214,0.08819151629478875
routine_logit,region_iecv,immigration_background,immigrant,3765,777,0.20585904087890494,0.23327943392971318,0.542669337445753,0.1658614159981271,-0.5795805636058958,0.45096629686483414,0.14946274794539754,0.2330229067895064,0.13203962804806377
routine_logit,region_iecv,escs_weighted_tertile,low,9221,1551,0.174071136005217,0.21450160792054257,0.5774003263783881,0.14314770151993234,-0.3892975817945549,0.689006052573614,0.19653085842750567,0.2277944386194331,0.15018079455271613
routine_logit,region_iecv,escs_weighted_tertile,middle,9997,1388,0.1492357801380013,0.20800741019402297,0.596462058785907,0.12485255209387637,0.12536450970506105,1.0452810132625099,0.13458542721448918,0.2345116834228441,0.08564588737076108
routine_logit,region_iecv,escs_weighted_tertile,high,10157,1066,0.11087634837282896,0.14996516929218015,0.5706696006606199,0.098306819847231,-0.3382791046822513,0.9395162872131941,0.10990737564624456,0.21494553335579344,0.05669402978811858
routine_hgb,school_nested,sex,female,14663,2604,0.18888800523958946,0.2527270592194041,0.6071686293970008,0.15217005461150684,0.49922865985904913,1.099642872018164,0.14689975906594394,0.28891710435352874,0.0960400130072934
routine_hgb,school_nested,sex,male,14925,1453,0.10323940950045454,0.14387435342619093,0.5796520699040024,0.09382564244428829,-0.6500385838025613,0.8576330924683373,0.17799706439322216,0.17685654456307348,0.10390518409239291
routine_hgb,school_nested,immigration_background,native,25034,3116,0.13233832405181511,0.180100792647332,0.5937598264454116,0.11337329066137515,-0.08594784178900106,1.0005650779584925,0.14422600672293087,0.21460512711583363,0.08893835981885204
routine_hgb,school_nested,immigration_background,immigrant,3765,777,0.20585904087890494,0.22885969437206638,0.534886943686632,0.16601747868398237,-0.7003976288536268,0.38129283814202813,0.16882680609112957,0.2602826136634564,0.13352610797702438
